Elevation,Species,Abundance_per_quadrat,Date,time,Collectors
Mid,Nerita,27,25-Feb,pm,"Mohanned, Jamie, Aaron"
Mid,Austrocochlea,14,25-Feb,pm,"Mohanned, Jamie, Aaron"
Mid,Cellana,32,25-Feb,pm,"Mohanned, Jamie, Aaron"
Mid,Austrocochlea,0,25-Feb,pm,"Mohanned, Jamie, Aaron"
Mid,Nerita,0,25-Feb,pm,"Mohanned, Jamie, Aaron"
High,Cellana,18,25-Feb,pm,"Mohanned, Jamie, Aaron"
Low,Nerita,0,25-Feb,pm,"Mohanned, Jamie, Aaron"
High,Austrocochlea,0,25-Feb,pm,"Mohanned, Jamie, Aaron"
High,Nerita,54,25-Feb,pm,"Mohanned, Jamie, Aaron"
Mid,Austrocochlea,30,25-Feb,pm,"Mohanned, Jamie, Aaron"
Mid,Cellana,32,25-Feb,pm,"Mohanned, Jamie, Aaron"
Low,Austrocochlea,0,25-Feb,pm,"Mohanned, Jamie, Aaron"
Low,Nerita,0,25-Feb,pm,"Mohanned, Jamie, Aaron"
High,Cellana,8,25-Feb,pm,"Mohanned, Jamie, Aaron"
High,Nerita,12,25-Feb,pm,"Mohanned, Jamie, Aaron"
High,Austrocochlea,0,25-Feb,pm,"Mohanned, Jamie, Aaron"
Mid,Nerita,0,25-Feb,pm,"Mohanned, Jamie, Aaron"
Low,Nerita,0,25-Feb,pm,"Mohanned, Jamie, Aaron"
Mid,Cellana,8,25-Feb,pm,"Mohanned, Jamie, Aaron"
Low,Austrocochlea,1,25-Feb,pm,"Mohanned, Jamie, Aaron"
Low,Cellana,38,25-Feb,pm,"Mohanned, Jamie, Aaron"
High,Nerita,21,25-Feb,pm,"Mohanned, Jamie, Aaron"
Low,Austrocochlea,9,25-Feb,pm,"Mohanned, Jamie, Aaron"
Mid,Cellana,19,25-Feb,pm,"Mohanned, Jamie, Aaron"
High,Austrocochlea,3,25-Feb,pm,"Steffy, Zita, Jitsen"
High,Nerita,5,25-Feb,pm,"Steffy, Zita, Jitsen"
High,Cellana,9,25-Feb,pm,"Steffy, Zita, Jitsen"
